Név,Dátum,Utolsó ár,Mennyiség
MOL,2017.05.18.,22475.0,106011.0
MOL,2017.05.19.,22330.0,83036.0
MOL,2017.05.22.,22350.0,134072.0
MOL,2017.05.23.,22090.0,74844.0
MOL,2017.05.24.,21895.0,116640.0
MOL,2017.05.25.,22220.0,113584.0
MOL,2017.05.26.,22090.0,50360.0
MOL,2017.05.29.,22125.0,31452.0
MOL,2017.05.30.,21965.0,67229.0
MOL,2017.05.31.,22315.0,319288.0
MOL,2017.06.01.,22310.0,76110.0
MOL,2017.06.02.,22370.0,76104.0
OPIMUS,2017.01.02.,40.0,3820.0
OPIMUS,2017.01.03.,40.0,11070.0
OPIMUS,2017.01.04.,40.0,6070.0
OPIMUS,2017.01.05.,40.0,745.0
OPIMUS,2017.01.06.,40.0,134589.0
OPIMUS,2017.01.09.,39.0,169000.0
OPIMUS,2017.01.10.,40.0,13600.0
OPIMUS,2017.01.11.,40.0,10035.0
OPIMUS,2017.01.12.,39.0,32000.0
OPIMUS,2017.01.13.,39.0,89337.0
OPIMUS,2017.01.16.,39.0,38592.0
OPIMUS,2017.01.17.,38.0,98757.0
OPIMUS,2017.01.18.,38.0,124438.0
OPIMUS,2017.01.19.,36.0,243951.0
OPIMUS,2017.01.20.,36.0,186923.0
OPIMUS,2017.01.23.,33.0,643866.0
OPIMUS,2017.01.24.,34.0,308621.0
OPIMUS,2017.01.25.,36.0,298513.0
OPIMUS,2017.01.26.,35.0,130956.0
OPIMUS,2017.01.27.,35.0,70635.0
OPIMUS,2017.01.30.,35.0,57446.0
OPIMUS,2017.01.31.,35.0,40590.0
OPIMUS,2017.02.01.,35.0,28322.0
OPIMUS,2017.02.02.,36.0,122668.0
OPIMUS,2017.02.03.,37.0,95994.0
OPIMUS,2017.02.06.,36.0,149347.0
OPIMUS,2017.02.07.,36.0,195027.0
OPIMUS,2017.02.08.,35.0,45040.0
OPIMUS,2017.02.09.,35.0,80761.0
OPIMUS,2017.02.10.,36.0,70563.0
OPIMUS,2017.02.13.,36.0,20832.0
OPIMUS,2017.02.14.,36.0,35757.0
OPIMUS,2017.02.15.,36.0,1220.0
OPIMUS,2017.02.16.,36.0,10570.0
OPIMUS,2017.02.17.,36.0,30423.0
OPIMUS,2017.02.20.,35.0,25520.0
OPIMUS,2017.02.21.,36.0,13263.0
OPIMUS,2017.02.22.,35.0,49707.0
OPIMUS,2017.02.23.,34.0,272938.0
OPIMUS,2017.02.24.,34.0,58220.0
OPIMUS,2017.02.27.,36.0,412578.0
OPIMUS,2017.02.28.,41.0,1317769.0
OPIMUS,2017.03.01.,40.0,1595239.0
OPIMUS,2017.03.02.,40.0,737623.0
OPIMUS,2017.03.03.,50.0,2991889.0
OPIMUS,2017.03.06.,57.0,2954032.0
OPIMUS,2017.03.07.,65.0,2587085.0
OPIMUS,2017.03.08.,74.0,5672126.0
OPIMUS,2017.03.09.,,
OPIMUS,2017.03.10.,,
OPIMUS,2017.03.13.,,
OPIMUS,2017.03.14.,63.0,590238.0
OPIMUS,2017.03.16.,54.0,322310.0
OPIMUS,2017.03.17.,46.0,3612701.0
OPIMUS,2017.03.20.,49.0,1012293.0
OPIMUS,2017.03.21.,48.0,694426.0
OPIMUS,2017.03.22.,49.0,696761.0
OPIMUS,2017.03.23.,48.0,446648.0
OPIMUS,2017.03.24.,49.0,75460.0
OPIMUS,2017.03.27.,48.0,229855.0
OPIMUS,2017.03.28.,48.0,119675.0
OPIMUS,2017.03.29.,49.0,263469.0
OPIMUS,2017.03.30.,49.0,167127.0
OPIMUS,2017.03.31.,49.0,265766.0
OPIMUS,2017.04.03.,49.0,68700.0
OPIMUS,2017.04.04.,48.0,93909.0
OPIMUS,2017.04.05.,48.0,56450.0
OPIMUS,2017.04.06.,48.0,29790.0
OPIMUS,2017.04.07.,48.0,44840.0
OPIMUS,2017.04.10.,47.0,88165.0
OPIMUS,2017.04.11.,47.0,26365.0
OPIMUS,2017.04.12.,46.0,44100.0
OPIMUS,2017.04.13.,47.0,294214.0
OPIMUS,2017.04.18.,46.0,399269.0
OPIMUS,2017.04.19.,46.0,22663.0
OPIMUS,2017.04.20.,46.0,8429.0
OPIMUS,2017.04.21.,46.0,293997.0
OPIMUS,2017.04.24.,46.0,577468.0
OPIMUS,2017.04.25.,52.0,1500167.0
OPIMUS,2017.04.26.,51.0,2457709.0
OPIMUS,2017.04.27.,53.0,697301.0
OPIMUS,2017.04.28.,53.0,793371.0
